id,migration_status,migration_reasoning
11428,non_migrated,Writer based in Lviv throughout her career with no indication of emigration.
11429,non_migrated,Actor born in Russia who trained and worked in Soviet/Ukrainian theatres; career entirely within former Soviet space.
11433,non_migrated,Painter based in Kyiv with no indication of emigration.
11434,non_migrated,Pianist and teacher who graduated from and worked at Donetsk music institution throughout his career.
11437,non_migrated,Actor and director who worked in Rivne theatres his entire career.
11438,non_migrated,Painter based in Ternopil region with no indication of emigration.
11447,non_migrated,Singer born in Russia who trained in Kharkiv and worked in Ukrainian institutions.
11448,non_migrated,Pianist born in Tajikistan who worked and taught in Ukraine (Odesa region).
11451,non_migrated,Singer based in Mariupol with no indication of emigration.
11452,non_migrated,Painter based in Kyiv with no indication of emigration.
11453,non_migrated,Painter based in Dnipro region with no indication of emigration.
11454,non_migrated,Writer based in Chernihiv region with no indication of emigration.
11455,internal_transfer,Singer born in Poltava region who settled and worked in Moscow for his career.
11456,non_migrated,Choreographer born in Georgia who moved to Kyiv from 2000 and worked there.
11457,non_migrated,Pop singer based in Ivano-Frankivsk region with no indication of emigration.
11462,migrated,Ukrainian painter and cultural figure in Canada; member of Ukrainian arts union in Toronto.
11468,non_migrated,Graphic artist based in Kyiv with no indication of emigration.
11469,non_migrated,Painter based in Kyiv with no indication of emigration.
11472,non_migrated,Prose writer based in Luhansk region with no indication of emigration.
11474,non_migrated,Painter who settled in Lviv and worked there throughout career.
11475,non_migrated,Architect based in Kyiv with no indication of emigration.
11476,migrated,Art scholar who settled in Germany from 1995.
11477,non_migrated,Graphic artist based in Rivne with no indication of emigration.
11481,migrated,Prose writer who emigrated to USA in 1995.
11486,non_migrated,Pop singer and academic based in Ukraine with no indication of emigration.
11489,non_migrated,Musicologist based in Kharkiv with no indication of emigration.
11492,non_migrated,Painter and art scholar based in Ukraine with no indication of emigration.
11497,unknown,Poet forcibly taken to Germany as Nazi forced labour in 1942 and held in a camp; post-war fate not clear from truncated bio.
11498,non_migrated,Decorative arts artist based in Myrhorod with no indication of emigration.
11499,migrated,Family deported to Kazakhstan then emigrated to Belgium 1943; settled in Canada from 1950.
11501,non_migrated,Painter based in Nikopol; study visit to Yerevan was temporary career development not emigration.
11502,non_migrated,Actor and director based in Ukrainian theatres with no indication of emigration.
11503,non_migrated,Writer based in Kyiv region with no indication of emigration.
11504,non_migrated,Poet based in Sumy region with no indication of emigration.
11505,non_migrated,Painter based in Dnipro region with no indication of emigration.
11507,non_migrated,Graphic artist based in Ukraine; born in Russia with no indication of emigration from Ukraine.
11509,non_migrated,Poet based in Kyiv with no indication of emigration.
11511,migrated,Singer who became a foreign member of NAMU in 2017; foreign membership status confirms settled abroad for substantial period.
11513,non_migrated,Singer and folklorist based in Kharkiv with no indication of emigration.
11515,non_migrated,Singer based in Kyiv with no indication of emigration.
11516,non_migrated,Architect based in Kyiv with no indication of emigration.
11517,non_migrated,Poet who moved to Luhansk region from 1952 and stayed there within Ukraine.
11518,non_migrated,Painter born in Latvia who trained and worked in Kharkiv with no indication of emigration.
11524,non_migrated,Graphic artist born in Ashgabat who studied and worked in Chernivtsi.
11525,non_migrated,Decorative arts artist based in Mykolaiv region with no indication of emigration.
11527,non_migrated,Architect based in Sumy with no indication of emigration.
11528,non_migrated,Textile artist based in Poltava with no indication of emigration.
11530,non_migrated,Director and musician based in Kyiv and Ukraine throughout career.
11531,non_migrated,Writer based in Luhansk region with no indication of emigration.
11533,non_migrated,Decorative arts artist based in Rivne with no indication of emigration.
11534,migrated,Painter who moved with parents to USA via Austria in 1950; studied in New York.
11539,non_migrated,Pop singer based in Kyiv region with no indication of emigration.
11541,non_migrated,Poet based in Vinnytsia region with no indication of emigration.
11543,non_migrated,Painter born in Russia who trained in Odesa and worked there.
11546,non_migrated,Writer and publicist based in Kyiv at KPI throughout career.
11552,non_migrated,Art scholar and textile artist based in Lviv with no indication of emigration.
11558,non_migrated,Musicologist based in Mykolaiv with no indication of emigration.
11559,non_migrated,Actor based in Kyiv theatres with no indication of emigration.
11561,non_migrated,Graphic artist and painter based in Dnipro/Zaporizhzhia with no indication of emigration.
11562,non_migrated,Painter based in Kyiv theatres with no indication of emigration.
11563,non_migrated,Composer and teacher based in Kyiv with no indication of emigration.
